description,artist,album,format,extra
"Radioactive Vomit ""Ratsflesh"" 7"" | Vinyl",Radioactive Vomit,Ratsflesh,Vinyl,
"Desultory ""Through Aching Aeons"" LP | Vinyl",Desultory,Through Aching Aeons,Vinyl,
"Opium Grave ""Black Sun Hexes - Two"" Double LP | Vinyl",Opium Grave,Black Sun Hexes - Two,Vinyl,
"Amon Acid ""Cosmogony"" Double LP | Vinyl",Amon Acid,Cosmogony,Vinyl,
"Funeral Nation ""30 Years in the Sign of the Baphomet"" Double LP | Vinyl",Funeral Nation,30 Years in the Sign of the Baphomet,Vinyl,
"Skinless ""Savagery"" LP | Vinyl",Skinless,Savagery,Vinyl,
Macabro Genocidio / Morbosatan Split LP | Vinyl,Macabro Genocidio / Morbosatan,Split,Vinyl,
"Dead Will Walk ""Unleash the Dead"" 7"" | Vinyl",Dead Will Walk,Unleash the Dead,Vinyl,
"Black Cilice ""Curses and Oaths"" 3LP Boxset | Vinyl",Black Cilice,Curses and Oaths,Vinyl,
"Alkaloid ""Invisible world"" LP (Female fronted Japanese HM '86) | Vinyl",Alkaloid,Invisible world,Vinyl,
"Anthropophagous ""Abuse of a Corpse"" LP | Vinyl",Anthropophagous,Abuse of a Corpse,Vinyl,
"Phlegein ""Labyrinth of Wonder"" LP | Vinyl",Phlegein,Labyrinth of Wonder,Vinyl,
"Funeral In Heaven / Plecto Aliquem Capite ""Astral Mantras Of Dyslexia"" Split LP | Vinyl",Funeral In Heaven / Plecto Aliquem Capite,Astral Mantras Of Dyslexia,Vinyl,
"Conjüratör ""Erosplattered"" Black Vinyl 10"" | Vinyl",Conjüratör,Erosplattered,Vinyl,
"Drakonhail ""L'autre Lieu"" LP | Vinyl",Drakonhail,L'autre Lieu,Vinyl,
V/A Four Winds of Revelation LP (GoatowaRex) | Vinyl,V/A,Four Winds of Revelation,Vinyl,
"Zatyr ""Ornament of Proposition"" LP | Vinyl",Zatyr,Ornament of Proposition,Vinyl,
"Fleurety ""The White Death"" LP | Vinyl",Fleurety,The White Death,Vinyl,
"Throneum ""Organic Death Temple MMXVI"" LP | Vinyl",Throneum,Organic Death Temple MMXVI,Vinyl,
"Squash Bowels ""Tnyribal"" LP | Vinyl",Squash Bowels,Tnyribal,Vinyl,
"Cult of Erinyes ""Metempsychosis"" LP | Vinyl",Cult of Erinyes,Metempsychosis,Vinyl,
"Church Bizzare ""Enigma of Hades"" 7"" | Vinyl",Church Bizzare,Enigma of Hades,Vinyl,
"Moonlight Sorcery ""Piercing Through the Frozen Eternity"" LP | Vinyl",Moonlight Sorcery,Piercing Through the Frozen Eternity,Vinyl,
"Saiva ""Markerna Bortom"" LP | Vinyl",Saiva,Markerna Bortom,Vinyl,
"Contumacy ""Reverence of Putrefaction"" Double LP + Booklet | Vinyl",Contumacy,Reverence of Putrefaction,Vinyl,
"Temisto ""Temisto"" LP | Vinyl",Temisto,Temisto,Vinyl,
"Ventilator ""Total Verhaltens Gestört"" LP | Vinyl",Ventilator,Total Verhaltens Gestört,Vinyl,
"Iron Maiden ""The Book of Souls"" Black Vinyl 3xLP | Vinyl",Iron Maiden,The Book of Souls,Vinyl,
"Aima ""Tragos"" Gold Vinyl Test Press LP | Vinyl",Aima,Tragos,Vinyl,
"Akrotheism / Septuagint ""Sphinx: The Great Enigma Of Times"" LP (Limited to 100) | Vinyl",Akrotheism / Septuagint,Sphinx: The Great Enigma Of Times,Vinyl,
"Darkestrah ""Nomad"" LP | Vinyl",Darkestrah,Nomad,Vinyl,
"Uttertomb ""Nebulas Of Self​-​Desecration"" LP | Vinyl",Uttertomb,Nebulas Of Self​-​Desecration,Vinyl,
"ABSU ""The Third Storm Of Cythraul - 2013 Alternate Stereo Mix"" LP | Vinyl",Absu,The Third Storm Of Cythraul - 2013 Alternate Stereo Mix,Vinyl,
"Assembly at Dusk ""Assembly at Dusk"" LP | Vinyl",Assembly at Dusk,Assembly at Dusk,Vinyl,
Turia / Vilkacis Split LP | Vinyl,Turia / Vilkacis,Split,Vinyl,
"NunSlaughter / Bloodsick Split Picture 7"" | Vinyl",NunSlaughter / Bloodsick,Split,Vinyl,
Gosudar / Malignant Altar Split LP | Vinyl,Gosudar / Malignant Altar,Split,Vinyl,
