description,artist,album,format,extra
Bolt Thrower - FOR VICTORY - FDR Limited Purple Vinyl LP,Bolt Thrower,For Victory,Vinyl,FDR Limited Purple Vinyl LP
Cynic - Traced in Air - LTD 200 Pink/Purple/White Vinyl LP,Cynic,Traced in Air,Vinyl,LTD 200 Pink/Purple/White Vinyl LP
Sentenced - The Cold White Light - Ultra Clear w/ Blue Smoke [LTD 250] Vinyl LP,Sentenced,The Cold White Light,Vinyl,Ultra Clear w/ Blue Smoke [LTD 250] Vinyl LP
Unleashed - Victory - Red-Silver Swirl Vinyl LP,Unleashed,Victory,Vinyl,Red-Silver Swirl Vinyl LP
Morta Skuld - Creation Undone - Limited Green Vinyl LP,Morta Skuld,Creation Undone,Vinyl,Limited Green Vinyl LP
Integrity - Humanity Is the Devil (Reissue) - Canary Yellow Colored Vinyl LP,Integrity,Humanity Is the Devil,Vinyl,Canary Yellow Colored Vinyl LP
Sentenced - Down - Clear w/ Gold Smoke Vinyl LP,Sentenced,Down,Vinyl,Clear w/ Gold Smoke Vinyl LP
"AGALLOCH - Of Stone, Wind, & Pillor - Remastered, Picturedisc LP",AGALLOCH,"Of Stone, Wind, & Pillor",Vinyl,"Remastered, Picturedisc LP"
NECROWRETCH - Putrid Death Sorcery -  Sea Blue Vinyl LP,Necrowretch,Putrid Death Sorcery,Vinyl,Sea Blue Vinyl LP
MUTIILATION - Vampires Of Black Imperial Blood- 2LP Red Marble Vinyl DLP,Mutiilation,Vampires of Black Imperial Blood,Vinyl,2LP Red Marble Vinyl DLP
Endstille - DetoNation - White Vinyl LP (import),Endstille,DetoNation,Vinyl,White Vinyl LP (import)
UNDERGANG – De syv stadier af fordærv - Transparent Red Vinyl LP,Undergang,De syv stadier af fordærv,Vinyl,Transparent Red Vinyl LP
Endseeker - Mount Carcass (Dust Vinyl Record LP),Endseeker,Mount Carcass,Vinyl,
Wretched Fate – Carnal Heresy LP Colored Vinyl (Limited to 250),Wretched Fate,Carnal Heresy,Vinyl,
IMMOLATION - Dawn of Possession -  Transparent Purple vinyl LP,Immolation,Dawn Of Possession,Vinyl,Transparent Purple vinyl LP
"[NESI] Body Count - Bloodlust - Black Vinyl w/ Red Splatter, Ltd 200 - Japan - Asian Market Exclusive",Body Count,Bloodlust,Vinyl,"Black Vinyl w/ Red Splatter, Ltd 200 - Japan - Asian Market Exclusive"
Fleshwater - We're Not Here To Be Loved - White in Clear Vinyl LP,Fleshwater,We're Not Here To Be Loved,Vinyl,White in Clear Vinyl LP
God Dethroned - Bloody Blasphemy - Red/White/Blue Splatter VInyl LP,God Dethroned,Bloody Blasphemy,Vinyl,Red/White/Blue Splatter VInyl LP
"FIT FOR AN AUTOPSY - SEA OF TRAGIC BEASTS (Mint Green, Yellow and Orange Splatter)",FIT FOR AN AUTOPSY,SEA OF TRAGIC BEASTS,Vinyl,
The Aggression Sessions (Various Artists) - LTD Color Vinyl LP,Various Artists,The Agression Sessions,Vinyl,
THE ABSENCE -  FROM YOUR GRAVE - Limited Sapphire Vinyl LP,THE ABSENCE,FROM YOUR GRAVE,Vinyl,Limited Sapphire Vinyl LP
Extermination Dismemberment - Dehumanization Protocol - 2LP Multiburst Vinyl,Extermination Dismemberment,Dehumanization Protocol,Vinyl,2LP Multiburst Vinyl
Olhava - FROZEN BLOOM - 2LP White DLP,OLHAVA,Frozen Bloom,Vinyl,2LP White DLP
Scar Symmetry - Pitch Black Progress - 2 LP Gatefold Gold,SCAR SYMMETRY,Pitch Black Progress,Vinyl,2 LP Gatefold Gold
Nile - Amongst the Catacombs of Nephren-Ka - Highlighter Yellow with Orange Krush Spinners and Splatter,Nile,Amongst The Catacombs Of Nephren-Ka,Vinyl,Highlighter Yellow with Orange Krush Spinners and Splatter
WILT - huginn - Vinyl LP,Wilt,huginn,Vinyl,Vinyl LP
Vitriol - Suffer & Become - *IMPORT* Ltd. deep blood red Vinyl LP,Vitriol,Suffer & Become,Vinyl,*IMPORT* Ltd. deep blood red Vinyl LP
The Black Dahlia Murder - Miasma - Red / Green Split Vinyl LP,The Black Dahlia Murder,Miasma,Vinyl,Red / Green Split Vinyl LP
[Blemish] Moonspell -Anno Satanae- Limited Vinyl LP,Moonspell,Anno Satanae,Vinyl,
In The Woods... Diversum Sea Blue Colored Vinyl,In The Woods...,Diversum,Vinyl,
Novembre Materia Double Vinyl LP (2LP),Novembre,Materia,Vinyl,
"SUFFOCATION 'BREEDING THE SPAWN' LP (Limited Edition, Import, Smoke Vinyl)",Suffocation,Breeding The Spawn,Vinyl,
Killswitch Engage (20th Anniversary Split Colored Vinyl Record),Killswitch Engage,Killswitch Engage,Vinyl,
