description,artist,album,format,extra
"VISIGOTH ""Conqueror's Oath"" vinyl LP (gatefold w/ giant poster)",VISIGOTH,Conqueror's Oath,Vinyl,(gatefold w/ giant poster)
"THANGORODRIM ""Taur Nu Fuin"" CD (2023 repress)",Thangorodrim,Taur Nu Fuin,CD,(2023 repress)
"[SOLD OUT] DEEP GNOME / SPRINGBIER ""Gnomish Delights"" cassette tape",,,,
"MUSHROOM VILLAGE ""s/t"" vinyl LP (2 color options, 180g)",MUSHROOM VILLAGE,s/t,Vinyl,"(2 color options, 180g)"
"[SOLD OUT] NEST ""Woodsmoke"" Cassette Tape (lim.150) *SHIPS END OF MARCH*",,,,
"[SOLD OUT] BASIC DUNGEON ""Tunnels & Treasures"" CD (w/ 20 page booklet)",BASIC DUNGEON,Tunnels & Treasures,CD,(w/ 20 page booklet)
"FIEF ""Logo"" die-cut patch [5 color options]",,,,
"[SOLD OUT] OUT OF SEASON ""Bard"" Embroidered Dad Hat [2 OPTIONS]",,,,
"[SOLD OUT] VINTLECHKEIT ‎""Svartskogen, Svartvinter... / Dødssted"" Vinyl LP (lim. 100)",Vintlechkeit,"Svartskogen, Svartvinter... / Dødssted",Vinyl,(lim. 100)
"[SOLD OUT] MOONSHRINE ""Hallucinatory Forest Rituals"" Cassette Tape (lim.120)",,,,
"[SOLD OUT] LAMP OF MURMUUR ""Submission and Slavery"" vinyl LP (color)",Lamp of Murmuur,Submission and Slavery,Vinyl,(color)
"[SOLD OUT] PAYSAGE D'HIVER ""Die Festung"" Vinyl LP",PAYSAGE D'HIVER,Die Festung,Vinyl,
"[SOLD OUT] FIEF ""Knight"" Patch",,,,
"[SOLD OUT] SKYFOREST ""Unity"" vinyl LP (color, lim.199)",SKYFOREST,Unity,Vinyl,"(color, lim.199)"
"[SOLD OUT] ELFFOR / MURGRIND / BARAK TOR ""Three Emperors"" CD [Digipak]",ELFFOR / MURGRIND / BARAK TOR,Three Emperors,CD,[Digipak]
"[SOLD OUT] STRIXSKOG ""Strixskog"" cassette tape",,,,
"DRAGONWYND ""Amulet ov Ages"" vinyl LP (Lim.200 w/ insert) [Mike Riddick / The Soil Bleeds Black]",Dragonwynd,Amulet Ov Ages,Vinyl,(Lim.200 w/ insert) [Mike Riddick / The Soil Bleeds Black]
"[SOLD OUT] KINGSWAY by Landon Podbielski - Video Game Soundtrack Vinyl LP (color,lim.300)",,,,
"[SOLD OUT] EMINENZ ""Diabolical Warfare"" vinyl LP (color, poster, lim.333)",Eminenz,Diabolical Warfare,Vinyl,"(color, poster, lim.333)"
"[SOLD OUT] TRIST ""Initiation"" CD",TRIST,Initiation,CD,
VAELASTRASZ 4-Sided Long Sleeve Shirt [Black/White],,,,
"FROSTGARD ""Urulókë"" cassette tape (lim.200 with booklet/mini-poster)",,,,
"[SOLD OUT] VASSUS ""Nortmanni Ambuscader"" Cassette Tape (lim.58)",,,,
"[SOLD OUT] FORLORN KINGDOM ""Ancient Winter's Domain"" Vinyl LP",Forlorn Kingdom,Ancient Winter's Domain,Vinyl,
"[SOLD OUT] BATHORY ""Bathory"" CD",Bathory,Bathory,CD,
"[SOLD OUT] QUEST MASTER ""Twelve Castles"" T-Shirt [BLACK]",,,,
"CRIMSON MOON ""Under the Serpentine Spell"" CD (lim.300)",Crimson Moon,Under the Serpentine Spell,CD,(lim.300)
"[SOLD OUT] SPECTRAL CRYPT ""MMXIX"" Cassette Tape (Lim. 75)",,,,
"[SOLD OUT] MORT GARSON ""Mother Earth's Plantasia"" Cassette Tape",,,,
"[SOLD OUT] MURGRIND ""Journey Through the Mountain"" vinyl LP (180g, w/ insert, lim.150)",Murgrind,Journey Through the Mountain,Vinyl,"(180g, w/ insert, lim.150)"
"[SOLD OUT] V/A ""Echoes Of Wizard's Chamber: A Tribute To Mortiis"" cassette tape [Old Tower, Elffor, more]",,,,
"[SOLD OUT] ESPRIT 空想 ""virtua.zip"" vinyl LP (color)",ESPRIT 空想,virtua.zip,Vinyl,(color)
"[SOLD OUT] RABBIT WITCH  ""March of the Warren"" Cassette Tape",,,,
FOGWEAVER 4-Sided Long Sleeve Shirt [Gildan],,,,
"[SOLD OUT] SEQUESTERED KEEP ""Lost Halls"" Cassette Tape",,,,
"[SOLD OUT] FAERY RING ""A Kingdom Beset by Despair"" Cassette Tape",,,,
"JIM KIRKWOOD ""Uruk-Hai"" CD (lim.300)",JIM KIRKWOOD,Uruk-Hai,CD,(lim.300)
"[SOLD OUT] WOLVES IN THE THRONE ROOM ""Crypt Of Ancestral Knowledge"" Cassette Tape",,,,
"[SOLD OUT] GRANDEUR ""Aurea Aetas"" vinyl LP (etched, lim.199)",GRANDEUR,Aurea Aetas,Vinyl,"(etched, lim.199)"
"[SOLD OUT] MAGIC FIND ""Seeping Auras"" Cassette Tape",,,,
"GOTHMOG ""Medieval Journeys"" CD (digipak)",Gothmog,Medieval Journeys,CD,(digipak)
"[SOLD OUT] ETERNAL TYRANT ""A Dark Dream"" vinyl LP",Eternal Tyrant,A Dark Dream,Vinyl,
"[SOLD OUT] THANGORODRIM ""Chain Flail"" (Silver) Patch",,,,
"[SOLD OUT] KONJURO'S KEEP ""s/t"" CD (slimline) [Chaucerian Myth]",KONJURO'S KEEP,s/t,CD,(slimline) [Chaucerian Myth]
"FROSTGARD ""Dark Elven Dungeon Synth"" 4-Sided Long Sleeve Shirt [BLACK]",,,,
"[SOLD OUT] VISIGOTH ""Conqueror's Oath"" CD",VISIGOTH,Conqueror's Oath,CD,
"[SOLD OUT] SOMME ""Prussian Blood"" vinyl LP (color, lim.300) [Coniferous Myst]",SOMME,Prussian Blood,Vinyl,"(color, lim.300) [Coniferous Myst]"
"[SOLD OUT] QUEST MASTER ""Lost Songs Complete"" T-Shirt [BLACK]",,,,
FIEF Military Green T-Shirt (Ships Separately) *EU / UK / WORLD*,,,,
"[SOLD OUT] LUNAR SPELLS / ORDER OF NOSFERAT ""Shadowrealm Incantations"" vinyl LP (w/ 2 stickers + insert, lim. 700)",LUNAR SPELLS / ORDER OF NOSFERAT,Shadowrealm Incantations,Vinyl,"(w/ 2 stickers + insert, lim. 700)"
"CHAUCERIAN MYTH ""Sir Orfeo"" Cassette Tape (lim.100)",,,,
"[SOLD OUT] ÖRNATORPET ""Hymner Från Snökulla"" vinyl LP (color, lim. 300 + poster)",Örnatorpet,Hymner Från Snökulla,Vinyl,"(color, lim. 300 + poster)"
"[SOLD OUT] PIPE SMOKER ""Life by the Riverside"" cassette tape",,,,
"[SOLD OUT] ZHOTHAQQUAHNYTH ""Hail Drugs"" Cassette Tape",,,,
"[SOLD OUT] CHAUCERIAN MYTH ""The Epic of Beileag"" 3xCD w/ patch (Lim. 100) [Digipak]",CHAUCERIAN MYTH,The Epic of Beileag,CD,(Lim. 100) [Digipak]
"[SOLD OUT] ELFFOR ""Logo"" Metal Enamel Pin",,,,
"[SOLD OUT] UMBRIA ""The Entombed Wizard"" cassette tape (lim.150)",,,,
OUT OF SEASON 7x Dice Set with Embroidered Bag / Laser Engraved Logos [Black/Gold colorway],,,,
"[SOLD OUT] AN OLD SAD GHOST ""The Path Of A Tongueless Knight"" vinyl LP (180g, numbered, lim. 200)",AN OLD SAD GHOST,The Path Of A Tongueless Knight,Vinyl,"(180g, numbered, lim. 200)"
"[SOLD OUT] XASTHUR ""Rehearsals 1997-1999"" Vinyl LP (color)",Xasthur,Rehearsals 1997-1999,Vinyl,(color)
"[SOLD OUT] QUEST MASTER ""Lost Songs Vol. 2"" T-Shirt [BLACK]",,,,
"[SOLD OUT] MAIDEN HAIR ""Minstrel"" CD [digipak]",MAIDEN HAIR,Minstrel,CD,[digipak]
"[SOLD OUT] CRAG FORGE ""Forbidden Crags"" CD [Digipak]",CRAG FORGE,Forbidden Crags,CD,[Digipak]
"[SOLD OUT] LUNGTOUCHER ""The Ninth Incantation"" vinyl LP (lim.300)",LUNGTOUCHER,The Ninth Incantation,Vinyl,(lim.300)
"[SOLD OUT] MACTÄTUS ""Provenance Of Cruelty"" vinyl LP (color, lim. 333)",MACTÄTUS,Provenance Of Cruelty,Vinyl,"(color, lim. 333)"
"[SOLD OUT] TROLLHEIM ""Im Heidenwald Elfgards & Ensomhet"" CD",Trollheim,Im Heidenwald Elfgards & Ensomhet,CD,
"[SOLD OUT] V/A ""And In The Darkness Bind Them - A Summoning Tribute"" Double CD [2xCD digipak]",V/A,And In The Darkness Bind Them - A Summoning Tribute,CD,[2xCD digipak]
CHAUCERIAN MYTH Logo Metal Enamel Pin [Navy/Gold],,,,
"[SOLD OUT] CARNAL OFFERINGS ""From Visceral Plaguelands"" Cassette Tape",,,,
"[SOLD OUT] MOURNFUL MOON ""...As Shadows Fall Over Zenithean"" cassette tape [2nd ed. Lim.100]",,,,
"[SOLD OUT] WALLACHIAN COBWEBS ""Hearken to the Moon Whisper"" Cassette Tape",,,,
[SOLD OUT] ARCANE ARCHIVIST ISSUE #2,,,,
"MOURNFUL MOON ""As Shadows Fall Over Zenithean"" CD (lim.300)",Mournful Moon,As Shadows Fall Over Zenithean,CD,(lim.300)
"[SOLD OUT] MIAMI NIGHTS '84 ""Turbulence"" vinyl LP (color, 180g)",MIAMI NIGHTS '84,Turbulence,Vinyl,"(color, 180g)"
"[SOLD OUT] CRÉPUSCULE D'HIVER ""Songes Hérétiques"" Cassette Tape",,,,
"[SOLD OUT] SUMMONING ""With Doom We Come"" CD",SUMMONING,With Doom We Come,CD,
"SEQUESTERED KEEP ""Era 2"" Double Cassette Tape",,,,
"TALES UNDER THE OAK ""The Toad King"" vinyl LP (180g color, poster, booklet)",TALES UNDER THE OAK,The Toad King,Vinyl,"(180g color, poster, booklet)"
"[SOLD OUT] BELERIAND ""In The Book Of Life One Leaf Turned"" Cassette Tape (Lim. 100)",,,,
"[SOLD OUT] CARNIFEXIAN ""Age of Spiked Mace"" CD",CARNIFEXIAN,Age of Spiked Mace,CD,
"[SOLD OUT] UØNSKET ""Forlatt"" CD (lim.50) [Felvum/Crying Orc]",UØNSKET,Forlatt,CD,(lim.50) [Felvum/Crying Orc]
"[SOLD OUT] TIR ""Persepolis"" CD [digipak]",Tir,Persepolis,CD,[digipak]
"[SOLD OUT] SKYFOREST ""Aftermath"" CD [Digipak]",SKYFOREST,Aftermath,CD,[Digipak]
"NIGHTMARE CITY OST vinyl 2xLP [Stelvio Cipriani] (double LP gatefold, color)",,,,
"[SOLD OUT] VINDKALDR ""Abyssos Symphonia"" deluxe cassette tape (w/ slipcase, lim.200)",,,,
"[SOLD OUT] KARNILAPAKTE ""Karnilapakte"" vinyl LP (color, w/ insert+booklet, Wulkanaz)",Karnilapakte,Karnilapakte,Vinyl,"(color, w/ insert+booklet, Wulkanaz)"
"[SOLD OUT] SKUGGEHEIM ""Koldheitas Spekter"" vinyl LP (gatefold w/poster)",Skuggeheim,Koldheitas Spekter,Vinyl,(gatefold w/poster)
"OLD NICK ""Haunted Loom!! / The Vanitous Specter"" vinyl LP [lim.400]",Old Nick,Haunted Loom!! / The Vanitous Specter,Vinyl,[lim.400]
"SOLANUM ""Spheres of Time"" CD (digipak)",SOLANUM,Spheres of Time,CD,(digipak)
"[SOLD OUT] SKYFOREST ""A New Dawn"" CD",SKYFOREST,A New Dawn,CD,
"[SOLD OUT] OSSUAIRE ""Premiers / Derniers Chants"" Double Cassette Tape (lim. 150)",,,,
"[SOLD OUT] HOT GRAVES ""Plaguewielder"" cassette tape",,,,
"DEPRESSIVE SILENCE ""IV: Final EP / A Spell Enraged"" vinyl LP (color)",Depressive Silence,IV: Final EP / A Spell Enraged,Vinyl,(color)
"[SOLD OUT] FIEF ""I+II"" 2xLP Deluxe Set w/ Slipcover (#/100)",Fief,I+II,Vinyl,(#/100)
"[SOLD OUT] OLD NICK ""Iam Vampire Castle"" vinyl LP (180g)",Old Nick,Iam Vampire Castle,Vinyl,(180g)
"[SOLD OUT] WRETCHED LAMENT ""A Portrait Of The Plague Age"" Cassette Tape w/ patch",,,,
"[SOLD OUT] VETEVRAKH ""Dominion of Terror"" Cassette Tape",,,,
"ESKAPISM ""Ancient Songs Of The Wind"" Vinyl LP (Lim. 150)",Eskapism,Ancient Songs of the Wind,Vinyl,(Lim. 150)
"[SOLD OUT] CRYSTALLINE THUNDERBOLTS PIERCE THE SACRED MOUNTAIN ""Blessed Hands..."" Cassette Tape",,,,
"[SOLD OUT] MNIMA ""Disciples of Excremental Liturgies"" CD (Μνήμα) [digipak]",MNIMA,Disciples of Excremental Liturgies,CD,(Μνήμα) [digipak]
"HILLSFAR ""Jewel"" Tri-Color shaped Patch",,,,
"[SOLD OUT] PAYSAGE D'HIVER ""Einsamkeit"" Vinyl 2xLP (gatefold, etched)",PAYSAGE D'HIVER,Einsamkeit,Vinyl,"(gatefold, etched)"
"[SOLD OUT] FATA MORGANA (MORTIIS) ""Fata Morgana"" Cassette Tape",,,,
"[SOLD OUT] DEMONCY ""Within the Sylvan Realms of Frost"" CD",Demoncy,Within the Sylvan Realms of Frost,CD,
"[SOLD OUT] CRYSTAL CAGE / SOMNIARE ""Valkyrian Dawn"" Cassette Tape",,,,
"[SOLD OUT] POP NEGATIF WASTAD ""s/t"" vinyl LP (1989 Welsh synth obscurity, lim. 250)",POP NEGATIF WASTAD,s/t,Vinyl,"(1989 Welsh synth obscurity, lim. 250)"
"[SOLD OUT] ORGY OF CARRION ""Blood Washed Away The Grave Purity"" CD [A5 size digipak]",Orgy of Carrion,Blood Washed Away The Grave Purity,CD,[A5 size digipak]
[SOLD OUT] COMFY WIZARD and The Pipe Smoking Hobbit Band Vinyl LP (color),,,,
[SOLD OUT] KONAMI LOFI BEATS TO CHILL TO vinyl LP [DJ NO.2],,,,
"[SOLD OUT] AN OLD SAD GHOST ""Berstende Ehre"" Cassette Tape",,,,
[SOLD OUT] CATACOMBS ENSHADOWED & BASTARD SWORD split CD,,,,
"[SOLD OUT] CERNUNNOS WOODS ""Forest Anthology"" Cassette Tape",,,,
"[SOLD OUT] KUKA'ILIMOKU ""Ka Hui Hawai'i Aloha 'Aina"" Cassette Tape",,,,
"[SOLD OUT] ULVER ""Kveldssanger"" CD",Ulver,Kveldssanger,CD,
"[SOLD OUT] CLOISTER SHADOWS ""Desolation Tales / Tethered to a Mystic Realm"" Cassette Tape (w/ badge)",,,,
"[SOLD OUT] ILDJARN-NIDHOGG ""Hardangervidda"" Vinyl LP (Color)",Ildjarn-Nidhogg,Hardangervidda,Vinyl,(Color)
"[SOLD OUT] SUMERIAN TOMBS ""Sumerian Tombs"" 2xCD (digipak w/slipcase, hand numbered)",Sumerian Tombs,Sumerian Tombs,CD,"(digipak w/slipcase, hand numbered)"
"DIMINISHING SPIRIT ""Surpassing the Barrier of Burning Infinity"" vinyl LP (two color options) [KLANEN]",DIMINISHING SPIRIT,Surpassing the Barrier of Burning Infinity,Vinyl,(two color options) [KLANEN]
"MANILLA ROAD ""The Courts of Chaos"" vinyl LP (clear)",Manilla Road,The Courts Of Chaos,Vinyl,(clear)
"[SOLD OUT] SIVYJ YAR ""From the Dead Villages Darkness"" CD [Сивый Яр]",SIVYJ YAR,From the Dead Villages Darkness,CD,[Сивый Яр]
"[SOLD OUT] ERANG ""The Land of the Five Seasons"" Trading Cards Wax Pack (Set of 12)",,,,
"[SOLD OUT] HEDGE WIZARD ""More True Than Time Thought"" CD",Hedge Wizard,More True Than Time Thought,CD,
"[SOLD OUT] SECRET STAIRWAYS ""Enchantment Of The Ring"" vinyl LP (color)",SECRET STAIRWAYS,Enchantment Of The Ring,Vinyl,(color)
"[SOLD OUT] JÄÄPORTIT ""Halki Lumisen Metsän"" Cassette Tape",,,,
"[SOLD OUT] ABYSA ""Searemony"" Cassette Tape",,,,
"[SOLD OUT] HELLHAMMER ""Apocalyptic Raids"" cassette tape",,,,
"DEPARTURE CHANDELIER ""Satan Soldier of Fortune"" CD",Departure Chandelier,Satan Soldier of Fortune,CD,
"[SOLD OUT] INOKA ""March of the Wanderer"" Cassette Tape",,,,
"[SOLD OUT] GOTHMOG ""Medieval Journeys"" vinyl LP (color w/insert)",Gothmog,Medieval Journeys,Vinyl,(color w/insert)
"[SOLD OUT] MAGIC FIND ""Magic Find"" Cassette Tape",,,,
"[SOLD OUT] MORTIIS ""Paint the Visions..."" Long Sleeve Shirt [BLACK]",,,,
"[SOLD OUT] TIR ""Nigritude"" Cassette Tape + Patch",,,,
"ALGHOL ""Night Eternal"" Deluxe CD (jewel case w/slipcase, etched disc)",Alghol,Night Eternal,CD,"(jewel case w/slipcase, etched disc)"
"[SOLD OUT] DIMMU BORGIR ""Enthrone Darkness Triumphant"" cassette tape",,,,
"[SOLD OUT] ALKILITH ""The Shores Of Evermeet"" Cassette Tape (Lim. 50)",,,,
"[SOLD OUT] DUNGEON MASTER ""Deep Dark Fantasies"" cassette tape [Данжн Мастер]",,,,
"SPECTRAL CASTLE ""I Remain..."" vinyl LP",SPECTRAL CASTLE,I Remain...,Vinyl,
"DEORC WEG ""The Chateau of Unrest"" Vinyl LP (lim. 125)",DEORC WEG,The Chateau of Unrest,Vinyl,(lim. 125)
"[SOLD OUT] NIDHOGG ""Nidhogg"" CD",Nidhogg,Nidhogg,CD,
"[SOLD OUT] RUNESCAPE ""OSRS - Old School Combat Classics"" CD [Digisleeve]",RUNESCAPE,OSRS - Old School Combat Classics,CD,[Digisleeve]
"[SOLD OUT] LORD LOVIDICUS ""Wandervogel des Waldes"" Cassette Tape",,,,
"[SOLD OUT] VOORMITHADRETH ""The Quest of Iranon"" cassette tape (Lim. 100)",,,,
"[SOLD OUT] REVENGE OF SHINOBI Video Game Soundtrack vinyl LP Deluxe (color, OBI + art prints)",,,,
"[SOLD OUT] ÖRNATORPET ""Fjällets gyllene slott"" CD (digipak)",Örnatorpet,Fjällets gyllene slott,CD,(digipak)
"[SOLD OUT] SERPENT'S ISLE ""Herald of the Cyan Sea"" CD [digipak]",Serpent's Isle,Herald of the Cyan Sea,CD,[digipak]
"[SOLD OUT] NIGHTBRINGER ""Apocalypse Sun"" CD (digipak)",Nightbringer,Apocalypse Sun,CD,(digipak)
"[SOLD OUT] NEBRAN ""...Of Long Forgotten Times"" double CD (2xCD digipak, numbered)",Nebran,...Of Long Forgotten Times,CD,"(2xCD digipak, numbered)"
"[SOLD OUT] TORCHLIGHT ""The Long Quest"" CD",TORCHLIGHT,The Long Quest,CD,
"[SOLD OUT] PAGAN ALTAR ""Mythical and Magical"" CD",Pagan Altar,Mythical and Magical,CD,
"[SOLD OUT] MYSTICAL FORCES ""Arcane Wisdom of the Elders"" cassette tape (lim.100) [Gate Master / Count Vornok]",,,,
"BLOODY KEEP ""Bloody Horror / Cup Of Blood"" vinyl LP (2 color options, 180g) *SHIPPING BY END JULY*",BLOODY KEEP,Bloody Horror / Cup Of Blood,Vinyl,
"[SOLD OUT] YSENGRIN ""Liber Hermetis"" 4xLP (die hard color + test press editions, Lim. 20)",Ysengrin,Liber Hermetis,Vinyl,"(die hard color + test press editions, Lim. 20)"
"[SOLD OUT] DJ COUNT OLKOTH ""...Welcome to the Dungeon House"" Cassette Tape",,,,
"[SOLD OUT] ROTHAR ""The Agra Saga Compendium"" Cassette Tape (Lim. 30)",,,,
GATES OF DAWN I+II 2xCDs BUNDLE,,,,
"[SOLD OUT] MORTIIS ""M Logo"" Metal Enamel Pin [Silver]",,,,
"[SOLD OUT] AHAMAH ""Ahamah"" cassette tape [Odz Manouk]",,,,
"JIM KIRKWOOD ""King of the Golden Hall"" Long Sleeve Shirt [WHITE or BLACK]",,,,
"[SOLD OUT] ARCTURUS ""Aspera Hiems Symfonia"" vinyl LP (gatefold, black/200)",Arcturus,Aspera Hiems Symfonia,Vinyl,"(gatefold, black/200)"
[SOLD OUT] V/A: United States Black Metal CD,,,,
"[SOLD OUT] SOLTRI ""Atra Mors"" Cassette Tape",,,,
"[SOLD OUT] COMPILERBAU ""Talking Machines"" vinyl LP (color, 180g, gatefold)",COMPILERBAU,Talking Machines,Vinyl,"(color, 180g, gatefold)"
"[SOLD OUT] XIRGAN / TILL ""A Clash of Darkened Sorcery"" vinyl LP (w/ insert)",Xirgan / Till,A Clash of Darkened Sorcery,Vinyl,(w/ insert)
"[SOLD OUT] BORDA'S ROPE ""Nearer the Shores of Kothal"" CD [Digipak]",Borda's Rope,Nearer the Shores of Kothal,CD,[Digipak]
"[SOLD OUT] ABIGAIL ""Grotesque Nightmare"" vinyl LP (lim. 250)",Abigail,Grotesque Nightmare,Vinyl,(lim. 250)
"[SOLD OUT] ΞΟΡΚΙ ""Νεκροαστικα"" Cassette Tape (w/booklet)",,,,
"[SOLD OUT] OLD NICK ""A New Generation of Vampiric Conspiracies"" Vinyl 2xLP (color, gatefold w/ poster)",Old Nick,A New Generation of Vampiric Conspiracies,Vinyl,"(color, gatefold w/ poster)"
"[SOLD OUT] VALAC ""Leaning Towards Bitter Misery"" Cassette Tape",,,,
"[SOLD OUT] DANCING DRUID ""Demo I"" cassette tape (lim.75)",,,,
"BOOK OF SKELOS ""Magickal Atavism"" CD [Digipak]",Book of Skelos,Magickal Atavism,CD,[Digipak]
"[SOLD OUT] MORTIIS ""The Shadow of the Tower"" Cassette Tape",,,,
"[SOLD OUT] CALDERUM ""Mystical Fortress of Iberian Lands"" CD",CALDERUM,Mystical Fortress of Iberian Lands,CD,
"DEPRESSIVE SILENCE ""III: Mourning"" CD (digipak)",Depressive Silence,III: Mourning,CD,(digipak)
"MEDHELAN ""Fall of the Horned Serpent"" Cassette Tape",,,,
"[SOLD OUT] OLD NICK ""No Solace in Sunlight"" Cassette Tape (w/ slipcase)",,,,
"[SOLD OUT] EQUITANT ""The Great Lands Of Minas Ithil"" CD",EQUITANT,The Great Lands Of Minas Ithil,CD,
"[SOLD OUT] NEIGE ET NOIRCEUR ""Vent Fantome"" CD (digipak)",Neige et Noirceur,Vent Fantome,CD,(digipak)
"[SOLD OUT] FORGOTTEN KINGDOMS ""Blue Moon Gate Between Worlds"" CD (lim.500)",Forgotten Kingdoms,Blue Moon Gate Between Worlds,CD,(lim.500)
"[SOLD OUT] FOREST SHRINE ""The First Songs"" cassette tape (lim.50)",,,,
"[SOLD OUT] PUTRID MARSH ""Death Songs"" Cassette Tape",,,,
"[SOLD OUT] EQUITANT ""The Great Lands Of Minas Ithil"" (1994) Cassette Tape",,,,
"[SOLD OUT] OUT OF SEASON ""Spoony Bard"" Patch",,,,
"[SOLD OUT] WINDIR ""Arntor"" Vinyl 2xLP (gatefold, lim.300)",Windir,Arntor,Vinyl,"(gatefold, lim.300)"
"[SOLD OUT] SAIDAN ""Onryō: Vengeful Spirits In The Eastern Night"" vinyl LP (black 180g w/ insert)",Saidan,Onryō: Vengeful Spirits In The Eastern Night,Vinyl,(black 180g w/ insert)
"[SOLD OUT] AURORAL HISS ""Auroral Hiss"" Cassette Tape",,,,
"[SOLD OUT] XIBALBA ""Ah Dzam Poop Ek"" Cassette Tape",,,,
"ARMORED SAINT ""March of the Saint"" vinyl LP (color, lim.300)",ARMORED SAINT,March of the Saint,Vinyl,"(color, lim.300)"
"[SOLD OUT] FROSTGARD ""Valaquenta I+II"" Vinyl 2xLP (color, Double LP Gatefold, lim.250)",FROSTGARD,Valaquenta I+II,Vinyl,"(color, Double LP Gatefold, lim.250)"
"[SOLD OUT] MOUKEPRABBELI ""Bogs And Frogs & Nightly Fog"" Cassette Tape",,,,
"[SOLD OUT] FALLS OF RAUROS ""Believe in No Coming Shore"" CD",FALLS OF RAUROS,Believe in No Coming Shore,CD,
"[SOLD OUT] OLIO TAHITEN TAKANA ""Spectral Katharsis"" CD (digipak)",OLIO TAHITEN TAKANA,Spectral Katharsis,CD,(digipak)
"[SOLD OUT] ERANG ""A Blaze In Time"" Cassette Tape (lim.150)",,,,
"[SOLD OUT] ENCLOAKED ""Leaving Lancre"" Cassette Tape",,,,
"[SOLD OUT] WAMPYRIC VAMPIR ""Abysmal Specter Presents..."" CD",WAMPYRIC VAMPIR,Abysmal Specter Presents...,CD,
"[SOLD OUT] BLOOD PORTAL ""Blood Portal"" Cassette Tape (Lim. 50)",,,,
"[SOLD OUT] REVENANT MARQUIS / OSSEMENTS ""Aiwass"" split vinyl LP (lim.200)",REVENANT MARQUIS / OSSEMENTS,Aiwass,Vinyl,(lim.200)
"[SOLD OUT] PAYSAGE D'HIVER ""Kristall & Isa"" CD Digibook",PAYSAGE D'HIVER,Kristall & Isa,CD,
[SOLD OUT] GRINNING GOD / SPIDER GOD Split CD [digipak],,,,
"[SOLD OUT] SUMMONING ""Lugburz"" CD",SUMMONING,Lugburz,CD,
"[SOLD OUT] KLANEN ""Coerced Into Desolate Eternity"" vinyl LP (color, 180g)",Klanen,Coerced Into Desolate Eternity,Vinyl,"(color, 180g)"
"[SOLD OUT] NORTMARSH ""I & II"" Cassette Tape (Lim.50)",,,,
"[SOLD OUT] STORMKEEP ""Tales of Othertime"" Cassette Tape",,,,
"[SOLD OUT] DIMMU BORGIR ""For All Tid"" cassette tape",,,,
"[SOLD OUT] KŪKA'ILIMOKU / EBONY PENDANT ""Split"" CD [Digipak]",KŪKA'ILIMOKU / EBONY PENDANT,Split,CD,[Digipak]
"[SOLD OUT] BELORE ""Artefacts"" vinyl LP (color, lim. 333)",Belore,Artefacts,Vinyl,"(color, lim. 333)"
"[SOLD OUT] PAYSAGE D'HIVER ""Im Traum"" CD Digibook",PAYSAGE D'HIVER,Im Traum,CD,
[SOLD OUT] ARCANE ARCHIVIST Issue #4,,,,
"[SOLD OUT] ELFFOR ""Age of Blackness"" 12xCD Book Box Set",Elffor,Age of Blackness,CD,
"[SOLD OUT] EMPYRIUM ""Weiland"" CD (digipak)",EMPYRIUM,Weiland,CD,(digipak)
"[SOLD OUT] V/A ""MELODIES IN REVERIE"" Vinyl LP",V/A,MELODIES IN REVERIE,Vinyl,
"[SOLD OUT] XASTHUR ""A Gate Through Bloodstained Mirrors"" Vinyl 2xLP (Gatefold)",Xasthur,A Gate Through Bloodstained Mirrors,Vinyl,(Gatefold)
JIM KIRKWOOD Logo Die-Cut Woven Patch,,,,
"[SOLD OUT] NORNĺR ""Skuld"" Vinyl LP (Gatefold, Color)",NORNĺR,Skuld,Vinyl,"(Gatefold, Color)"
"[SOLD OUT] THANGORODRIM ""Taur Nu Fuin"" Sticker",,,,
"[SOLD OUT] EVILFEAST ""Wintermoon Enchantment"" vinyl 2xLP (gatefold)",Evilfeast,Wintermoon Enchantment,Vinyl,(gatefold)
"[SOLD OUT] ETERNAL AXE ""Beyond Magic"" Cassette Tape",,,,
"[SOLD OUT] AHULABRUM / PUTRID MARSH ""An Encounter with the WV Vegetable Man"" Cassette Tape",,,,
THANGORODRIM Towers Logo Metal Enamel Pin,,,,
"[SOLD OUT] MOLCHAT DOMA ""Etazhi"" cassette tape  (Молчат Дома ""Этажи"")",,,,
"[SOLD OUT] EMYN MUIL ""Afar Angathfark"" Deluxe Vinyl 2xLP (Double LP Color, Gatefold, Poster)",EMYN MUIL,Afar Angathfark,Vinyl,"(Double LP Color, Gatefold, Poster)"
"[SOLD OUT] DIM LIGHTS ""Starspire"" CD (digipak) [V-Khaoz]",DIM LIGHTS,Starspire,CD,(digipak) [V-Khaoz]
"[SOLD OUT] OLD NICK ""The Truest Spell"" Cassette Tape (w/ OBI)",,,,
"FOGWEAVER ""Purple / Metallic Gold"" Stickers",,,,
"[SOLD OUT] DARKTHRONE ""A Blaze in the Northern Sky"" vinyl LP (Blue)",Darkthrone,A Blaze in the Northern Sky,Vinyl,(Blue)
"UTRED ""Citadel - Forest - Sovereign"" double CD (2xCD digipak)",Utred,Citadel - Forest - Sovereign,CD,(2xCD digipak)
"[SOLD OUT] VAMPYRIC COFFIN ""Give Your Blood To The Night"" Cassette Tape",,,,
