description,artist,album,format,extra
"Blut ""Demo 2014"" MC | Cassette",Blut,Demo 2014,Cassette,
"Sabbatory ""Sabbatory"" 7"" | Vinyl",Sabbatory,Sabbatory,Vinyl,
"Sarcofagus ""Envoy of Death"" LP | Vinyl",Sarcofagus,Envoy of Death,Vinyl,
"Reign In Blood ""Missa Pro Defunctis"" LP | Vinyl",Reign In Blood,Missa Pro Defunctis,Vinyl,
"Christ Agony ""Moonlight Act III"" LP | Vinyl",Christ Agony,Moonlight Act III,Vinyl,
"L4zr Gr1d ""Client Pleasures"" 7"" | Vinyl",L4ZR GR1D,Client Pleasures,Vinyl,
"Eucharist ""I Am the Void"" Double LP | Vinyl",Eucharist,I Am the Void,Vinyl,
"Ascension ""Fire and Faith"" MLP | Vinyl",Ascension,Fire and Faith,Vinyl,
"Vong ""A Wander in Liminality"" CD | CD",Vong,A Wander in Liminality,CD,
"Entombed ""Clandestine"" LP | Vinyl",Entombed,Clandestine,Vinyl,
"Death Yell ""Vengeance from Darkness"" White Vinyl LP | Vinyl",Death Yell,Vengeance From Darkness,Vinyl,
"Sigh ""Scorn Defeat"" LP | Vinyl",Sigh,Scorn Defeat,Vinyl,
"Crucifier ""Led Astray"" Digipak CD | CD",Crucifier,Led Astray,CD,
"Udraborokh ""Ad Oculos Demonstrare"" Demo | Cassette",Udraborokh,Ad Oculos Demonstrare,Cassette,
"Matterhorn ""Crass Cleansing"" LP | Vinyl",Matterhorn,Crass Cleansing,Vinyl,
"Vitriol ""Chrysalis"" LP | Vinyl",Vitriol,Chrysalis,Vinyl,
"Hellish Crossfire ""Unholy Tyranny - Pleasure to Kill Version"" Picture LP | Vinyl",Hellish Crossfire,Unholy Tyranny - Pleasure to Kill Version,Vinyl,
"The Dickies ""The Incredible Shrinking Dickies"" LP | Vinyl",The Dickies,The Incredible Shrinking Dickies,Vinyl,
"Hesychia ""Thron"" Digifile CD | CD",Hesychia,Thron,CD,
"Winterstorm ""Demo I-II MMXX"" LP | Vinyl",Winterstorm,Demo I-II MMXX,Vinyl,
"Molested ""Blod-Draum"" LP | Vinyl",Molested,Blod-Draum,Vinyl,
"Putrefaction ""Painful Death"" Picture LP (Pre-Grave) | Vinyl",Putrefaction,Painful Death,Vinyl,
"Ofermod ""Mysterium Iniquitatis"" LP | Vinyl",Ofermod,Mysterium Iniquitatis,Vinyl,
"Wilk ""Hammer of Hate"" Demo | Cassette",Wilk,Hammer of Hate,Cassette,
"Vex ""Memorious"" Double LP | Vinyl",Vex,Memorious,Vinyl,
"Vlad Tepes ""War Funeral March"" LP | Vinyl",Vlad Tepes,War Funeral March,Vinyl,
"Pandiscordian Necrogenesis ""Elohim Glowing Bile"" MC | Cassette",Pandiscordian Necrogenesis,Elohim Glowing Bile,Cassette,
"Xibalba ""Ancients"" CD | CD",Xibalba,Ancients,CD,
"Ironbird ""Pentagrammi & Tursaansydan"" LP | Vinyl",Ironbird,Pentagrammi & Tursaansydan,Vinyl,
"Occult Blood ""Occult Blood"" LP | Vinyl",Occult Blood,Occult Blood,Vinyl,
"Wulkanaz ""Wulkanaz"" CD | CD",Wulkanaz,Wulkanaz,CD,
"Exorcizphobia ""Spiritual Exodus"" MC | Cassette",Exorcizphobia,Spiritual Exodus,Cassette,
"Maniak ""Satanic Barako"" Picture 7"" | Vinyl",Maniak,Satanic Barako,Vinyl,
Acute “Who Wants War – Discography 1986-1989” Double LP+CD | Vinyl,Acute,Who Wants War – Discography 1986-1989,Vinyl,
"LVTHN ""Eradication of Nescience"" Digipack CD | CD",LVTHN,Eradication of Nescience,CD,
"Cult of Erinyes ""Metempsychosis"" CD | CD",Cult of Erinyes,Metempsychosis,CD,
"Nosferion ""A Southern Scouring"" MC | Cassette",Nosferion,A Southern Scouring,Cassette,
"Cryptic Shift ""Return To Realms"" MC | Cassette",Cryptic Shift,Return To Realms,Cassette,
Sore Throat “Starving Wolves Stand & Fight” Digipak CD | CD,Sore Throat,Starving Wolves Stand & Fight,CD,
Spikes / Merciless Onslaught Split Demo | Cassette,,,,
"Initiation ""A Ritual of Blood, A Pact of Ashes"" CD | CD",Initiation,"A Ritual of Blood, A Pact of Ashes",CD,
"Entrapment ""Imminent Violent Death"" LP | Vinyl",Entrapment,Imminent Violent Death,Vinyl,
"Apparition of Sunlight ""Wilt of Roses Crimson"" MC | Cassette",Apparition of Sunlight,Wilt of Roses Crimson,Cassette,
"Carved Cross ""Live In Turin"" LP | Vinyl",Carved Cross,Live In Turin,Vinyl,
"Gorrch ""Introvertere"" LP | Vinyl",Gorrch,Introvertere,Vinyl,
"Gehennah ""Too Loud to Live, Too Drunk to Die"" MC | Cassette",Gehennah,"Too Loud to Live, Too Drunk to Die",Cassette,
"Grabunhold / Circle of Shadows ""Lamentationen"" Split CD | CD",Grabunhold / Circle of Shadows,Lamentationen,CD,
"Moon Incarnate ""Hymns to the Moon"" LP | Vinyl",Moon Incarnate,Hymns to the Moon,Vinyl,
"Moonlight Sorcery ""Nightwind: The Conqueror from the Stars"" MC | Cassette",Moonlight Sorcery,Nightwind: The Conqueror from the Stars,Cassette,
"Wineta ""Zanim wstanie dzień / Reh.'93"" 7"" | Vinyl",Wineta,Zanim wstanie dzień / Reh.'93,Vinyl,
"Slave Spirit ""Desconocida Dimensión Espiritual"" CD | CD",Slave Spirit,Desconocida Dimensión Espiritual,CD,
"Impiety ""Despondent Damnation"" CD (FL Band) | CD",Impiety,Despondent Damnation,CD,
"Forndom ""Dauðra Dura"" CD | CD",Forndom,Dauðra Dura,CD,
"Clouds ""Doliu"" CD | CD",Clouds,Doliu,CD,
"Terrestrial Hospice ""Universal Fate Speech"" Digipak CD | CD",Terrestrial Hospice,Universal Fate Speech,CD,
"Wald Krypta ""Possessed by Nothingness"" LP (Lim to 100) | Vinyl",Wald Krypta,Possessed by Nothingness,Vinyl,
"Abortofacient ""In the Crypt of Gore"" CD | CD",Abortofacient,In the Crypt of Gore,CD,
"Hamargroll ""1997-1999"" LP (Lim to 100) | Vinyl",Hamargroll,1997-1999,Vinyl,
"V/A ""The Wine of Satan"" CD | CD",V/A,The Wine of Satan,CD,
"Veiled ""Black Celestial Orbs"" LP | Vinyl",Veiled,Black Celestial Orbs,Vinyl,
"Deadyn ""Back Street Heroes"" LP | Vinyl",Deadyn,Back Street Heroes,Vinyl,
"Deranged ""The Redlight Murder Case"" CD | CD",Deranged,The Redlight Murder Case,CD,
"Diskord ""Oscillations"" LP | Vinyl",Diskord,Oscillations,Vinyl,
"Prison Hell ""The Dark Science"" LP | Vinyl",Prison Hell,The Dark Science,Vinyl,
"Obhyantar ""Abhyamudra"" LP (GoatowaRex) | Vinyl",Obhyantar,Abhyamudra,Vinyl,
"The Speakers ""The Speakers"" LP | Vinyl",The Speakers,The Speakers,Vinyl,
"Motor Perpetuo ""Al Acecho"" CD (Argentine Heavy Metal) | CD",Motor Perpetuo,Al Acecho,CD,
"Stilla ""Skuggflock"" CD | CD",Stilla,Skuggflock,CD,
"Naramedha ""Cauterize"" Demo (GoatowaRex) | Cassette",Naramedha,Cauterize,Cassette,
The Sexual / A.T. Det Split LP | Vinyl,,,,
"Rhujeh ""Vormithadreth"" Demo | Cassette",Rhujeh,Vormithadreth,Cassette,
"Permanent Solution ""Permanent Solution"" Digipak CD | CD",Permanent Solution,Permanent Solution,CD,
"Varathron ""Walpurgisnacht"" LP | Vinyl",Varathron,Walpurgisnacht,Vinyl,
"Nifelheim ""Envoy of Lucifer"" Digipak CD | CD",Nifelheim,Envoy of Lucifer,CD,
"Satanize ""Baphomet Altar Worship"" LP | Vinyl",Satanize,Baphomet Altar Worship,Vinyl,
"Thrashsteel ""Thoughtcrime"" CD | CD",Thrashsteel,Thoughtcrime,CD,
"Hans Zimmer & Benjamin Wallfisch ""Blade Runner 2049 soundtrack"" MC | Cassette",Hans Zimmer & Benjamin Wallfisch,Blade Runner 2049 soundtrack,Cassette,
"Rottrevore ""Hung by the Eyesockets"" MLP | Vinyl",Rottrevore,Hung by the Eyesockets,Vinyl,
"Winged ""From The Arcane Burning Legions"" CD (Cult Italian BM '97) | CD",Winged,From The Arcane Burning Legions,CD,
"Gorguts ""The Erosion Of Sanity"" Picture LP | Vinyl",Gorguts,The Erosion Of Sanity,Vinyl,
"Gutter Instinct ""Heirs Of Sisyphus"" CD | CD",Gutter Instinct,Heirs Of Sisyphus,CD,
"Hate Forest ""The Gates"" Digipak CD | CD",Hate Forest,The Gates,CD,
"Auroch ""Seven Veils"" 7"" | Vinyl",Auroch,Seven Veils,Vinyl,
"ROTHADÁS ""ROTHADÁS"" CD | CD",ROTHADÁS,ROTHADÁS,CD,
"Xaos Oblivion ""Black Mountains Spirits"" CD | CD",Xaos Oblivion,Black Mountains Spirits,CD,
"Hate Beyond ""Verge of Death"" CD | CD",Hate Beyond,Verge of Death,CD,
"Gnosis ""Omens from the Dead Realm"" LP | Vinyl",Gnosis,Omens from the Dead Realm,Vinyl,
"Xantam ""Altered State"" MC | Cassette",Xantam,Altered State,Cassette,
"RRAAAUMM ""The Eternal Dance At The Nucleus Of Time"" LP | Vinyl",RRAAAUMM,The Eternal Dance At The Nucleus Of Time,Vinyl,
"Mental Devastation ""The Delusional Mystery Of The Self"" MC | Cassette",Mental Devastation,The Delusional Mystery Of The Self,Cassette,
"Irae ""Assim na Terra Como no Inferno"" LLP | Vinyl",Irae,Assim na Terra Como no Inferno,Vinyl,
"Autokrator ""The Obedience to Authority"" LP | Vinyl",Autokrator,The Obedience to Authority,Vinyl,
"Overdöse ""Two Wheels and Gone"" LP | Vinyl",Overdöse,Two Wheels and Gone,Vinyl,
"Lavatory ""Transgression"" MCD | CD",Lavatory,Transgression,CD,
"Clouds ""Destin"" CD | CD",Clouds,Destin,CD,
"Coroner ""Die By My Hand"" Promo Clear Vinyl MLP | Vinyl",Coroner,Die By My Hand,Vinyl,
"Zawrat ""The Flames of the Spiritual Quest"" MC | Cassette",Zawrat,The Flames of the Spiritual Quest,Cassette,
"Bolt Thrower ""Honour - Valour - Pride"" White/Black Splatter Double LP | Vinyl",Bolt Thrower,Honour - Valour - Pride,Vinyl,
"Dead Infection ""World Full Of Remains"" MC | Cassette",Dead Infection,World Full Of Remains,Cassette,
"Primeval Well ""Primeval Well"" Double LP (Babylon Doom Cult Edition) | Vinyl",Primeval Well,Primeval Well,Vinyl,
"Altar ""Dark Domains"" CD | CD",Altar,Dark Domains,CD,
"Slaughter ""Bloody Karnage"" Beige Vinyl 7"" | Vinyl",Slaughter,Bloody Karnage,Vinyl,
"Fiat Nox ""In Contemptuous Defiance"" CD | CD",Fiat Nox,In Contemptuous Defiance,CD,
"Necromantia ""Crossing The Fiery Path"" LP | Vinyl",Necromantia,Crossing The Fiery Path,Vinyl,
"Cruor Vexillum ""Cruor Vexillum"" MC | Cassette",Cruor Vexillum,Cruor Vexillum,Cassette,
"Gehenna ""Unravel"" LP | Vinyl",Gehenna,Unravel,Vinyl,
"Horrified ""Crematorium Mist"" CD | CD",Horrified,Crematorium Mist,CD,
"Grimdor ""The Land of Shadow"" LP | Vinyl",Grimdor,The Land of Shadow,Vinyl,
"Morbid Sphere ""Arcana"" LP | Vinyl",Morbid Sphere,Arcana,Vinyl,
"Immortal ""Blizzard Beasts"" CD | CD",Immortal,Blizzard Beasts,CD,
"Kandar / No God RhetoricSplit 7"" | Vinyl",,,,
"Exanimatvm ""Sollvm Ipsa Mor"" CD | CD",Exanimatvm,Sollvm Ipsa Mor,CD,
"State of Fear ""Complete Discography Volume I"" LP | Vinyl",State of Fear,Complete Discography Volume I,Vinyl,
"Armnatt ""Immortal Nature"" LP | Vinyl",Armnatt,Immortal Nature,Vinyl,
"King Diamond ""Abigail"" LP | Vinyl",King Diamond,Abigail,Vinyl,
"Scythian ""To Those Who Stand Against Us..."" LP | Vinyl",Scythian,To Those Who Stand Against Us...,Vinyl,
"Caveman Cult ""Savage War is Destiny"" CD | CD",Caveman Cult,Savage War is Destiny,CD,
"Funerary Call ""Beckoning At The Black"" CD | CD",Funerary Call,Beckoning At The Black,CD,
V/A Death Metal Power From Beyond MC | Cassette,,,,
"Audduekhon Ausswad / Filth Womb Militant Ascendancy"" Split MC | Cassette",,,,
"Alement ""Onward / The Hunter"" Demo | Cassette",Alement,Onward / The Hunter,Cassette,
"Sabbat ""Karmagmassacre"" CD (Iron Pegasus Edition) | CD",Sabbat,Karmagmassacre,CD,
Temple / Mischievous Augury / The Fallen Split CD | CD,,,,
"Proclamation ""Imperious Jaws of Ire"" Picture LP | Vinyl",Proclamation,Imperious Jaws of Ire,Vinyl,
"Ніч (NICH) ""...Only the Winds Remember My Name..."" LP | Vinyl",Ніч (NICH),...Only the Winds Remember My Name...,Vinyl,
"Cryptic Shift ""Return To Realms"" LP | Vinyl",Cryptic Shift,Return To Realms,Vinyl,
"Lifvsleda ""Det Besegrade Lifvet"" Digipak CD | CD",Lifvsleda,Det Besegrade Lifvet,CD,
"Behemoth ""Ezkaton"" Digipak CD | CD",Behemoth,Ezkaton,CD,
"V/A A Crash Course in Noise 7"" | Vinyl",,,,
"Katari ""Ave, Rex Ivdaeorvm!"" CD | CD",Katari,"Ave, Rex Ivdaeorvm!",CD,
"Sadomaniac / Megiddo ""Blessed By The Goat / Sadomatic Rites"" Split 7"" | Vinyl",Sadomaniac / Megiddo,Blessed By The Goat / Sadomatic Rites,Vinyl,
"Heptameron ""Grand Master of the Final Harvest"" MC | Cassette",Heptameron,Grand Master of the Final Harvest,Cassette,
"Aytnachr / Sacellum Luciferi Split 7"" | Vinyl",,,,
"Weltering In Blood ""Hellish Death Howls"" CD | CD",Weltering In Blood,Hellish Death Howls,CD,
"Martwa Aura ""Morbus Animus"" LP | Vinyl",Martwa Aura,Morbus Animus,Vinyl,
"Årabrot ""Revenge"" Double LP | Vinyl",Årabrot,Revenge,Vinyl,
"Hawkmoon ""Tome I: À l'Aube des Puissances"" LP | Vinyl",Hawkmoon,Tome I: À l'Aube des Puissances,Vinyl,
"V/A Seol / Ignis Noctem / Mithlond ""Opus Malignum"" Split CD | CD",V/A Seol / Ignis Noctem / Mithlond,Opus Malignum,CD,
"Ens Imperfectissimum ""Kama​-​Loka​-​Aur Naraka"" Digipak CD | CD",Ens Imperfectissimum,Kama​-​Loka​-​Aur Naraka,CD,
"Rudimentary Peni ""Wilfred Owen The Chances"" 7"" | Vinyl",Rudimentary Peni,Wilfred Owen The Chances,Vinyl,
"Wharflurch ""Shitslime"" CD | CD",Wharflurch,Shitslime,CD,
"LVTHN ""Eradication of Nescience"" LP + Booklet | Vinyl",LVTHN,Eradication of Nescience,Vinyl,
"Desekryptor ""Vortex Oblivion"" MC | Cassette",Desekryptor,Vortex Oblivion,Cassette,
"Beherit ""Bardo Exist"" MC | Cassette",Beherit,Bardo Exist,Cassette,
"Midnight Callings ""The Cosmological Wanderer"" CD | CD",Midnight Callings,The Cosmological Wanderer,CD,
"Troll ""Trollstorm Over Nidingjuv"" Digibook CD | CD",Troll,Trollstorm Over Nidingjuv,CD,
"Diabolos Rising ""Blood, Vampyrism & Sadism"" LP | Vinyl",Diabolos Rising,"Blood, Vampyrism & Sadism",Vinyl,
"Jærtecken ""Jærtecken"" 10"" | Vinyl",Jærtecken,Jærtecken,Vinyl,
"Equinox ""Journey Into Oblivion"" LP | Vinyl",Equinox,Journey Into Oblivion,Vinyl,
"Proscrito ""Llagas y Estigmas"" CD | CD",Proscrito,Llagas y Estigmas,CD,
"Burier ""I"" CD | CD",Burier,I,CD,
"Ninhursag ""Azurascension"" MC | Cassette",Ninhursag,Azurascension,Cassette,
"Umoral ""Der Sola Aldri Skinner"" Digipak CD | CD",Umoral,Der Sola Aldri Skinner,CD,
"Brahmastrika ""Excarnastrial Commencination"" LP | Vinyl",Brahmastrika,Excarnastrial Commencination,Vinyl,
"Absava ""Varahtelyja Kynnyksella"" Demo | Cassette",Absava,Varahtelyja Kynnyksella,Cassette,
"Cimerion ""Forêts d'Outre-Monde"" MC | Cassette",Cimerion,Forêts d'Outre-Monde,Cassette,
"Kranium ""Inquisidor"" 6"" Digipak CD | CD",Kranium,Inquisidor,CD,
"Nadsvest / Necrobode ""Ustolicenje smrti​/​O triunfo da morte"" LP | Vinyl",Nadsvest / Necrobode,Ustolicenje smrti​/​O triunfo da morte,Vinyl,
"Cryptic Shift ""Visitations From Enceladus"" LP (Alternate Cover Edition) | Vinyl",Cryptic Shift,Visitations From Enceladus,Vinyl,
"Sarcofago ""Nights in Hell"" CD (Live 1987) | CD",Sarcofago,Nights in Hell,CD,
"Mara ""Engendros Del Dragón (1976-1982)"" MC | Cassette",Mara,Engendros Del Dragón (1976-1982),Cassette,
"Grave ""Dominion VIII"" CD | CD",Grave,Dominion VIII,CD,
"Impaled Nazarene ""Latex Cult"" LP | Vinyl",Impaled Nazarene,Latex Cult,Vinyl,
"Gyda Gash ""60 Milligrams"" 7"" | Vinyl",Gyda Gash,60 Milligrams,Vinyl,
"Unaussprechlichen Kulten ""Compilation 2024"" CD | CD",Unaussprechlichen Kulten,Compilation 2024,CD,
"Whitehorse ""Raised Into Darkness"" LP | Vinyl",Whitehorse,Raised Into Darkness,Vinyl,
"Nartvind ""Breath of Night"" CD | CD",Nartvind,Breath of Night,CD,
"Hadopelagyal​ /​ Thorybos ""Conjuring Subterranean Vortex"" Split MC | Cassette",Hadopelagyal​ /​ Thorybos,Conjuring Subterranean Vortex,Cassette,
"Draugurinn ""Myrkraverk"" CD | CD",Draugurinn,Myrkraverk,CD,
"Hate Forest ""Celestial Wanderer"" MC | Vinyl",Hate Forest,Celestial Wanderer,Vinyl,
"Hellwitch ""Mordirivial Disemanation - Demo 1987"" Demo | Cassette",Hellwitch,Mordirivial Disemanation - Demo 1987,Cassette,
"Pungent Stench ""Ampeauty"" Double LP | Vinyl",Pungent Stench,Ampeauty,Vinyl,
Múspellzheimr / Cage of Creation Split LP | Vinyl,,,,
"Atman ""Psy Atman"" CD | CD",Atman,Psy Atman,CD,
"Anarchus / Oxidised Razor ""Fanatism Kills"" Split CD | CD",Anarchus / Oxidised Razor,Fanatism Kills,CD,
"Excessum / Orcivus Split 7"" | Vinyl",,,,
"Thoth ""Zamglenie"" Jewelcase CD | CD",Thoth,Zamglenie,CD,
"Southern Black Viper ""Veneno 1"" Demo | Cassette",Southern Black Viper,Veneno 1,Cassette,
"Agent Steel / Redstorm ""The Unexpected (Live) / Take me back"" Split 7"" | Vinyl",Agent Steel / Redstorm,The Unexpected (Live) / Take me back,Vinyl,
"Slaughter Command ""Ride the Tornado"" MC | Cassette",Slaughter Command,Ride the Tornado,Cassette,
"Hermóðr ""A Realm Reborn & Arv"" Digipak CD | CD",Hermóðr,A Realm Reborn & Arv,CD,
"Sargatanas ""Knights of the Southern Cross"" CD | CD",Sargatanas,Knights of the Southern Cross,CD,
"Paradise Lost / Autopsy ""Eternal / Twisted Mass Of Burnt Decay"" Split Clear Flexi 7"" | Vinyl",Paradise Lost / Autopsy,Eternal / Twisted Mass Of Burnt Decay,Vinyl,
Altered Heresy / Dakhanavar Red Vinyl Split LP (GoatowaRex) | Vinyl,,,,
"Sentier Des Morts ""Beatus Methodivo"" MC | Cassette",Sentier Des Morts,Beatus Methodivo,Cassette,
"Haunted Cenotaph ""Haunted Cenotaph"" MC | Cassette",Haunted Cenotaph,Haunted Cenotaph,Cassette,
"I Shalt Become ""Wanderings"" LP | Vinyl",I Shalt Become,Wanderings,Vinyl,
"Sacrenoir/Ende Split 7"" | Vinyl",,,,
"High Spirits ""High Spirits"" Digipak CD | CD",High Spirits,High Spirits,CD,
"Nihil Nocturne ""Wahnsinn.tod.verrat"" LP | Vinyl",Nihil Nocturne,Wahnsinn.tod.verrat,Vinyl,
"Anti-Cimex ""The Complete Demos Collection 1982 - 1983"" LP | Vinyl",Anti-Cimex,The Complete Demos Collection 1982 - 1983,Vinyl,
"Burial Hordes ""Θανατος αιωνιος (The Termination Thesis)"" LP | Vinyl",Burial Hordes,Θανατος αιωνιος (The Termination Thesis),Vinyl,
"Metallica ""The Black Album"" CD | CD",Metallica,The Black Album,CD,
"Bròn ""Pred dverima noći"" CD | CD",Bròn,Pred dverima noći,CD,
"Divine Eve ""Upon these Ashes Scorn the World"" MC | Cassette",Divine Eve,Upon these Ashes Scorn the World,Cassette,
V/A Constellation of Death LP | Vinyl,,,,
"Abigail ""Blasphemy Night"" Avocado Green Vinyl LP | Vinyl",Abigail,Blasphemy Night,Vinyl,
"Dødheimsgard ""Kronet til Konge"" LP | Vinyl",Dødheimsgard,Kronet til Konge,Vinyl,
"Lordes Werre ""Canticles of Armageddon"" 10"" | Vinyl",Lordes Werre,Canticles of Armageddon,Vinyl,
"Sadus ""Twisted face - The demos 1986/1987"" LP | Vinyl",Sadus,Twisted face - The demos 1986/1987,Vinyl,
"Morbid Cruelty ""Holodomor"" LP | Vinyl",Morbid Cruelty,Holodomor,Vinyl,
"Uskonrauha ""Tympeyden Ylistys"" CD | CD",Uskonrauha,Tympeyden Ylistys,CD,
"Hermóðr ""The Sea of Dragons"" Digipak CD | CD",Hermóðr,The Sea of Dragons,CD,
"Exenferis ""En el Umbra de Mis Dominios"" MC | Cassette",Exenferis,En el Umbra de Mis Dominios,Cassette,
"Belzazel ""Sword of Satan"" LP | Vinyl",Belzazel,Sword of Satan,Vinyl,
"Lord Belial ""Unholy Crusade"" LP (Vassago Related) | Vinyl",Lord Belial,Unholy Crusade,Vinyl,
"Mythrim ""Absurditas in Nihilum"" Demo | Cassette",Mythrim,Absurditas in Nihilum,Cassette,
"Fen & De Arma ""Towards The Shores of The End"" Digipak CD | CD",Fen & De Arma,Towards The Shores of The End,CD,
"Morbid Angel ""Abominations of Desolation"" LP (With Poster + Original Mix) | Vinyl",Morbid Angel,Abominations of Desolation,Vinyl,
"GLA ""Private Recordings 2006-2008"" MC | Cassette",GLA,Private Recordings 2006-2008,Cassette,
"Winterblut ""Grund: Gelenkkunst"" Double CD | CD",Winterblut,Grund: Gelenkkunst,CD,
"Surtr ""Pulvis Et Umbra"" CD | CD",Surtr,Pulvis Et Umbra,CD,
"Weathered Crest ""Dust Vessel"" 10"" | Vinyl",Weathered Crest,Dust Vessel,Vinyl,
"Moby Dick ""Ugass kutya!"" Double CD | CD",Moby Dick,Ugass kutya!,CD,
"Ominous Resurrection ""Omniscient"" CD | CD",Ominous Resurrection,Omniscient,CD,
"Mortiis ""The Shadow of the Tower"" MC | Cassette",Mortiis,The Shadow of the Tower,Cassette,
"Kauhu ""Anomalia"" MC | Cassette",Kauhu,Anomalia,Cassette,
"Tri-Function Million ""Sprukket Jord"" LP | Vinyl",Tri-Function Million,Sprukket Jord,Vinyl,
"Carcass ""Swansong"" LP | Vinyl",Carcass,Swansong,Vinyl,
"Winterstorm ""Vinterstormener"" LP | Vinyl",Winterstorm,Vinterstormener,Vinyl,
"Sadistik Exekution ""We Are Death Fukk You"" LP | Vinyl",Sadistik Exekution,We Are Death Fukk You,Vinyl,
"Preacher ""Trapped In Hell Demo"" LP (Wild Rags 1987) | Vinyl",Preacher,Trapped In Hell Demo,Vinyl,
"Vento Negro ""Do Perfeccionismo Natural"" MC | Cassette",Vento Negro,Do Perfeccionismo Natural,Cassette,
"Enforcer / Cauldron ""Heavy Metal Thunder Sessions #2"" Split 7"" | Vinyl",Enforcer / Cauldron,Heavy Metal Thunder Sessions #2,Vinyl,
"Horns ""Czerń"" Digipak CD | Vinyl",Horns,Czerń,Vinyl,
"Noxen / Lueur Spectrale ""Diary Of A Schizoid"" MC | Cassette",Noxen / Lueur Spectrale,Diary Of A Schizoid,Cassette,
"Arpia ""De Lusioni"" Double LP (Italian Heavy Metal Doom 1987) | Vinyl",Arpia,De Lusioni,Vinyl,
"Varathron ""His Majesty at the Swamp"" Digipak CD (Original Cover) | CD",Varathron,His Majesty at the Swamp,CD,
"Saint Vitus ""Blessed Night"" 7"" | Vinyl",Saint Vitus,Blessed Night,Vinyl,
"Evil ""Rites of Cleansing"" 7"" (Brazilian Black Metal) | Vinyl",Evil,Rites of Cleansing,Vinyl,
"Exterminate ""Pact"" Test Press 7"" | Vinyl",Exterminate,Pact,Vinyl,
"Ildjarn ""1992-1995"" Digibook CD | CD",Ildjarn,1992-1995,CD,
"Saturnian Mist ""Repellings"" CD | CD",Saturnian Mist,Repellings,CD,
"Mooncitadel ""Moon Calls to Wander..."" LP | Vinyl",Mooncitadel,Moon Calls to Wander...,Vinyl,
"Acerbitas ""Urkaosets Svarta Vredesdom"" CD (1st Press - Ancient Recs Related BM) | CD",Acerbitas,Urkaosets Svarta Vredesdom,CD,
"Demonic Oath ""Crypt of Mournful Summoning"" LP | Vinyl",Demonic Oath,Crypt of Mournful Summoning,Vinyl,
"NunSlaughter ""Devil's Congeries Vol. 3"" Double LP | Vinyl",NunSlaughter,Devil's Congeries Vol. 3,Vinyl,
"Dark Funeral ""The Secrets Of The Black Arts"" LP | Vinyl",Dark Funeral,The Secrets Of The Black Arts,Vinyl,
"Deathevokation / Graveyard Test Press Split 7"" | Vinyl",,,,
"Draugsol ""Volada Land"" LP | Vinyl",Draugsol,Volada Land,Vinyl,
"Acid Drinkers ""Varran Strikes Back - Alive!!!"" MC | Cassette",Acid Drinkers,Varran Strikes Back - Alive!!!,Cassette,
Eviscerate ¨Beneath Dyingskies¨Digipak CD | CD,,,,
"Dagger Lust ""Siege Bondage Adverse to the Godhead"" LP | Vinyl",Dagger Lust,Siege Bondage Adverse to the Godhead,Vinyl,
"Vaamatar ""Medievalgeist"" LP | Vinyl",Vaamatar,Medievalgeist,Vinyl,
"Sulfuric ""Into the Darkness"" CD | CD",Sulfuric,Into the Darkness,CD,
"Dead Infection ""Start Human Slaughter"" MC | Cassette",Dead Infection,Start Human Slaughter,Cassette,
"Paimon Gate ""Butcher to the Devil's Court"" Test Press LP | Vinyl",Paimon Gate,Butcher to the Devil's Court,Vinyl,
"Fongus ""Pesadilla"" MC | Cassette",Fongus,Pesadilla,Cassette,
"Amaguq ""Occult Rituals of Anthropophagous Worship"" LP | Vinyl",Amaguq,Occult Rituals of Anthropophagous Worship,Vinyl,
"Helios Fundraiser - Mysticat ""Sun"" T Shirt | Vinyl",Helios Fundraiser - Mysticat,Sun,Vinyl,
"Venefices ""Incubacy // Succubacy"" LP | Vinyl",Venefices,Incubacy // Succubacy,Vinyl,
"Khthoniik Cerviiks ""Æequiizoiikum"" LP | Vinyl",Khthoniik Cerviiks,Æequiizoiikum,Vinyl,
"Ctenizidae ""...Of Rotting Soil and Spine"" 10"" | Vinyl",Ctenizidae,...Of Rotting Soil and Spine,Vinyl,
"Vonülfsrëich ""Hyperborëan Hills"" CD | CD",Vonülfsrëich,Hyperborëan Hills,CD,
"Warlust ""Unearthing Shattered Philosophies"" LP | Vinyl",Warlust,Unearthing Shattered Philosophies,Vinyl,
"Nosoforos ""Deathmotionvessel"" Demo | Cassette",Nosoforos,Deathmotionvessel,Cassette,
"Rosenfeld ""Pigs of the Empire"" Double LP | Vinyl",Rosenfeld,Pigs of the Empire,Vinyl,
"Satyricon ""Dark Medieval Times"" LP | Vinyl",Satyricon,Dark Medieval Times,Vinyl,
"Phantasm ""Keeper of Death"" LP (NWN Edition) | Vinyl",Phantasm,Keeper of Death,Vinyl,
"Kratherion ""Mantra Lucifer Flagelantes"" Digipak CD | CD",Kratherion,Mantra Lucifer Flagelantes,CD,
"Night Cobra ""Dawn of the Serpent"" LP | Vinyl",Night Cobra,Dawn of the Serpent,Vinyl,
"Sarmoung ""Naart Kaachitaa"" Digipak CD | CD",Sarmoung,Naart Kaachitaa,CD,
Violent Scum / Coffin Curse Split CD | CD,,,,
"Drowned ""Bonegrinder"" CD | CD",drowned,Bonegrinder,CD,
